# logU  Z  xi  lnh  NV1240 CIV1548 CIV1551     HeII1640 OIII1661 OIII1666 SiIII1883 SiIII1888 CIII1909 OII3727 NeIII3869     HeII4686 Hbeta OIII4959 OIII5007 OI6300 NII6548 Halpha NII6584 SII6717 SII6731 
-1.0 0.0001 0.1 1.0 62640.0 8849000.0 4713000.0 1127000.0 3348000.0 8232000.0 798500.0 472500.0 3348000.0 422900.0 4320000.0 42630.0 37220000.0 16300000.0 49060000.0 4097.0 1319.0        106600000.0 3893.0 16180.0 11580.0  
-1.0 0.0001 0.1 2.0 62340.0 8827000.0 4702000.0 1128000.0 3316000.0 8151000.0 1179000.0 699200.0 3264000.0 391300.0 4309000.0 42640.0 37350000.0 16270000.0 48970000.0 4123.0 1253.0        107000000.0 3698.0 14980.0 11560.0  
-1.0 0.0001 0.1 3.0 62070.0 8579000.0 4577000.0 1130000.0 3176000.0 7809000.0 1058000.0 645200.0 3015000.0 267600.0 4231000.0 42680.0 37490000.0 15980000.0 48100000.0 4200.0 1000.0        107000000.0 2952.0 9515.0 11100.0  
-1.0 0.0001 0.1 4.0 63350.0 8519000.0 4548000.0 1133000.0 3052000.0 7504000.0 846000.0 658400.0 2766000.0 110000.0 4174000.0 42850.0 37560000.0 15470000.0 46580000.0 4237.0 807.9        107100000.0 2384.0 2650.0 5235.0  
-1.0 0.0001 0.3 1.0 62410.0 5083000.0 3293000.0 1086000.0 2660000.0 6543000.0 308100.0 182300.0 2252000.0 320500.0 3989000.0 41460.0 33770000.0 12570000.0 37830000.0 3248.0 1196.0        96940000.0 3529.0 15220.0 10890.0  
-1.0 0.0001 0.3 2.0 62110.0 5072000.0 3291000.0 1087000.0 2641000.0 6498000.0 463600.0 275000.0 2206000.0 299300.0 3993000.0 41470.0 33990000.0 12590000.0 37890000.0 3272.0 1147.0        97520000.0 3384.0 14130.0 10900.0  
-1.0 0.0001 0.3 3.0 61850.0 4931000.0 3211000.0 1088000.0 2527000.0 6217000.0 418500.0 255200.0 2037000.0 208400.0 3923000.0 41480.0 34180000.0 12370000.0 37250000.0 3333.0 932.5        97730000.0 2752.0 8997.0 10490.0  
-1.0 0.0001 0.3 4.0 63130.0 4858000.0 3174000.0 1090000.0 2409000.0 5928000.0 333800.0 259500.0 1855000.0 86350.0 3857000.0 41610.0 34240000.0 11950000.0 35960000.0 3356.0 759.4        97740000.0 2241.0 2505.0 4949.0  
-1.0 0.0001 0.5 1.0 62180.0 3870000.0 2383000.0 1049000.0 1908000.0 4697000.0 73950.0 43750.0 1425000.0 219900.0 3706000.0 40450.0 30850000.0 8753000.0 26350000.0 2318.0 1093.0        88700000.0 3226.0 14370.0 10290.0  
-1.0 0.0001 0.5 2.0 61880.0 3869000.0 2386000.0 1050000.0 1899000.0 4675000.0 112800.0 66920.0 1400000.0 206900.0 3717000.0 40450.0 31090000.0 8786000.0 26440000.0 2337.0 1056.0        89370000.0 3117.0 13370.0 10320.0  
-1.0 0.0001 0.5 3.0 61630.0 3768000.0 2331000.0 1050000.0 1817000.0 4474000.0 102500.0 62470.0 1293000.0 146700.0 3656000.0 40420.0 31320000.0 8649000.0 26030000.0 2380.0 874.7        89670000.0 2581.0 8530.0 9948.0  
-1.0 0.0001 0.5 4.0 62920.0 3701000.0 2298000.0 1051000.0 1724000.0 4244000.0 81470.0 63290.0 1172000.0 61150.0 3587000.0 40520.0 31370000.0 8334000.0 25080000.0 2393.0 717.2        89650000.0 2116.0 2375.0 4690.0  
-1.0 0.0002 0.1 1.0 83400.0 10480000.0 5623000.0 907900.0 4692000.0 11480000.0 631400.0 374400.0 4953000.0 1021000.0 6781000.0 32490.0 34650000.0 25870000.0 77880000.0 6827.0 3329.0        98920000.0 9824.0 27620.0 19770.0  
