H  1 6562.80A,H  1 4861.32A,H  1 4340.46A,H  1 4101.73A,He 2 1640.41A,He 2 4685.68A,O  1 6300.30A,O  1 6363.78A,O  1 63.1679m,O  1 145.495m,O  2 3726.03A,O  2 3728.81A,O  3 1660.81A,O  3 1666.15A,O  3 4363.21A,O  3 4958.91A,O  3 5006.84A,O  3 51.8004m,O  3 88.3323m,Ne 3 3868.76A,Ne 3 3967.47A,C  2 157.636m,C  3 1906.68A,C  3 1908.73A,C  4 1548.19A,C  4 1550.78A,N  2 6548.05A,N  2 6583.45A,S  2 6716.44A,S  2 6730.82A,S  3 9068.62A,S  3 9530.62A,U,rho,metal,ssp type,age
2.7636,1.0,0.47658,0.26034,0.00865,0.00089122,0.0016703,0.00053357,0.00043672,4.2579e-05,0.057936,0.083875,0.059882,0.17537,0.081942,1.0131,3.0225,0.23358,0.34005,0.18552,0.056308,0.0024481,0.61567,0.40105,0.21661,0.12975,0.0061855,0.018234,0.011143,0.0079946,0.056964,0.14309,-0.5,1.5,0.001,single,3.0
2.8288,1.0,0.47291,0.25852,0.0032189,0.00042525,0.038828,0.012403,0.015913,0.0015287,0.41754,0.57115,7.0618e-05,0.00020681,0.00019836,0.0065818,0.019637,0.0035033,0.0043488,0.01204,0.0036545,0.027753,0.014632,0.0097948,3.2659e-06,1.7767e-06,0.072502,0.21372,0.16467,0.12377,0.016544,0.041558,-4.0,2.0,0.001,single,3.0
2.8209,1.0,0.47365,0.25815,0.0047111,0.00061079,0.020217,0.0064583,0.0068109,0.0006543,0.53212,0.72524,0.0010933,0.0032017,0.0025036,0.062945,0.1878,0.026482,0.032401,0.033233,0.010087,0.015704,0.055423,0.036961,0.00011897,6.6071e-05,0.073918,0.2179,0.11542,0.087394,0.034126,0.085724,-3.5,2.0,0.001,single,3.0
2.8098,1.0,0.47443,0.25801,0.0052849,0.000667,0.0096658,0.0030877,0.0028851,0.00027723,0.43312,0.59026,0.007861,0.023021,0.015004,0.29529,0.88103,0.10128,0.12305,0.0707,0.021459,0.0080962,0.15477,0.10283,0.0023974,0.0014054,0.048706,0.14358,0.066856,0.050752,0.054693,0.13739,-3.0,2.0,0.001,single,3.0
2.7958,1.0,0.47517,0.25843,0.0057471,0.0006975,0.0047147,0.0015061,0.0013171,0.0001266,0.22836,0.31152,0.02276,0.066654,0.037386,0.6022,1.7967,0.17533,0.21149,0.11387,0.034563,0.0039443,0.31538,0.20866,0.017815,0.011098,0.023532,0.069369,0.034875,0.026483,0.069253,0.17396,-2.5,2.0,0.001,single,3.0
2.7809,1.0,0.47576,0.25926,0.0063785,0.00073457,0.0026512,0.0008469,0.00070903,6.8158e-05,0.11539,0.15757,0.040075,0.11737,0.059481,0.82892,2.4732,0.21493,0.2565,0.15091,0.045805,0.0020654,0.48711,0.3207,0.072349,0.041037,0.01179,0.034755,0.018908,0.014351,0.071459,0.1795,-2.0,2.0,0.001,single,3.0
2.7692,1.0,0.47631,0.26016,0.0073182,0.00079581,0.0017596,0.0005621,0.00045687,4.39e-05,0.067684,0.092504,0.054602,0.15993,0.076326,0.9724,2.9012,0.23509,0.27624,0.17695,0.053709,0.0012548,0.603,0.39504,0.16536,0.098232,0.0069928,0.020613,0.011802,0.0089518,0.06358,0.15971,-1.5,2.0,0.001,single,3.0
2.7594,1.0,0.47678,0.26072,0.0086969,0.00089533,0.0012864,0.00041094,0.00032746,3.144e-05,0.045126,0.061713,0.065843,0.19287,0.088611,1.0665,3.182,0.24713,0.28439,0.19498,0.059179,0.00085303,0.65683,0.42853,0.24606,0.14786,0.0047147,0.013898,0.0083347,0.0063201,0.053448,0.13426,-1.0,2.0,0.001,single,3.0
2.7509,1.0,0.4772,0.26102,0.01066,0.0010389,0.0009805,0.00031321,0.00024658,2.3644e-05,0.032114,0.043936,0.075515,0.22125,0.098768,1.1387,3.3975,0.25606,0.28707,0.20924,0.063509,0.00061278,0.67726,0.44066,0.28899,0.17272,0.003389,0.0099902,0.0062723,0.004756,0.044332,0.11136,-0.5,2.0,0.001,single,3.0
2.8292,1.0,0.47291,0.25849,0.0032267,0.00042626,0.038837,0.012406,0.015395,0.0014309,0.43838,0.51419,7.1643e-05,0.00020981,0.0002015,0.0066648,0.019885,0.0035204,0.00273,0.012091,0.0036698,0.011839,0.014862,0.0099106,3.3303e-06,1.8114e-06,0.073362,0.21626,0.14777,0.12775,0.016714,0.041985,-4.0,2.5,0.001,single,3.0
2.8211,1.0,0.47365,0.25811,0.0047217,0.00061206,0.020097,0.00642,0.0065123,0.00060383,0.5581,0.6501,0.0011156,0.0032671,0.0025573,0.064097,0.19124,0.026685,0.020385,0.033487,0.010164,0.0062635,0.056353,0.037455,0.00012245,6.8007e-05,0.074776,0.22043,0.10228,0.089711,0.034528,0.086731,-3.5,2.5,0.001,single,3.0
2.8097,1.0,0.47445,0.25798,0.0052979,0.00066824,0.0093702,0.0029932,0.002675,0.0002477,0.44833,0.52314,0.0081536,0.023878,0.015547,0.30442,0.90825,0.10306,0.078738,0.071845,0.021806,0.0030566,0.15879,0.10515,0.0025422,0.0014938,0.048576,0.14319,0.058141,0.051138,0.055552,0.13954,-3.0,2.5,0.001,single,3.0
2.7948,1.0,0.47523,0.25843,0.0057862,0.00070024,0.004237,0.0013535,0.0011226,0.0001038,0.221,0.25886,0.02433,0.071255,0.039684,0.63115,1.8831,0.18008,0.13761,0.11759,0.03569,0.0013695,0.33134,0.21859,0.020021,0.012365,0.021891,0.064532,0.028652,0.025159,0.070635,0.17743,-2.5,2.5,0.001,single,3.0
2.7775,1.0,0.47588,0.25941,0.0065297,0.00074397,0.0020615,0.00065852,0.00051882,4.7808e-05,0.095285,0.11199,0.044789,0.13119,0.065402,0.88627,2.6443,0.22205,0.1684,0.15976,0.048491,0.00061502,0.53004,0.34838,0.091172,0.05158,0.009343,0.027541,0.013559,0.011875,0.071507,0.17962,-2.0,2.5,0.001,single,3.0
2.7626,1.0,0.47662,0.26063,0.0078064,0.00082802,0.0011735,0.00037487,0.00028647,2.6253e-05,0.046493,0.054784,0.063774,0.18686,0.086749,1.0571,3.1539,0.2433,0.18068,0.19175,0.058201,0.00031198,0.66611,0.43645,0.21227,0.13087,0.0046078,0.013583,0.0071328,0.0062348,0.058475,0.14689,-1.5,2.5,0.001,single,3.0
2.7494,1.0,0.47726,0.2614,0.009965,0.00098644,0.00078099,0.00024948,0.00018828,1.7145e-05,0.027515,0.032471,0.078465,0.23003,0.10214,1.1654,3.477,0.25483,0.18287,0.21331,0.064743,0.00018744,0.69996,0.45771,0.30478,0.18206,0.0027693,0.0081633,0.0045356,0.0039619,0.04289,0.10774,-1.0,2.5,0.001,single,3.0
2.7386,1.0,0.47786,0.26176,0.013514,0.0012544,0.00057417,0.00018342,0.00013819,1.2502e-05,0.018712,0.022105,0.090638,0.26595,0.11431,1.2432,3.7092,0.2621,0.18031,0.22929,0.069593,0.00012823,0.67984,0.44384,0.37013,0.2031,0.0019177,0.0056529,0.003325,0.0029046,0.031297,0.078616,-0.5,2.5,0.001,single,3.0
2.8295,1.0,0.47292,0.25846,0.0032391,0.00042787,0.039004,0.01246,0.014279,0.0012175,0.45994,0.39958,7.2797e-05,0.00021319,0.00020541,0.0067591,0.020166,0.0029094,0.0011423,0.012134,0.0036829,0.0044582,0.015003,0.010124,3.3947e-06,1.8461e-06,0.073926,0.21792,0.11536,0.12929,0.017036,0.042794,-4.0,3.0,0.001,single,3.0
2.8212,1.0,0.47366,0.25811,0.0047382,0.00061417,0.020137,0.0064327,0.0059799,0.0005058,0.58239,0.50026,0.0011321,0.0033153,0.0026049,0.065028,0.19402,0.021986,0.0085038,0.03361,0.010201,0.0022507,0.056672,0.038136,0.00012495,6.9408e-05,0.075256,0.22184,0.078092,0.089779,0.035142,0.088275,-3.5,3.0,0.001,single,3.0
