H  1 6562.80A,H  1 4861.32A,H  1 4340.46A,H  1 4101.73A,He 2 1640.41A,He 2 4685.68A,O  1 6300.30A,O  1 6363.78A,O  1 63.1679m,O  1 145.495m,O  2 3726.03A,O  2 3728.81A,O  3 1660.81A,O  3 1666.15A,O  3 4363.21A,O  3 4958.91A,O  3 5006.84A,O  3 51.8004m,O  3 88.3323m,Ne 3 3868.76A,Ne 3 3967.47A,C  2 157.636m,C  3 1906.68A,C  3 1908.73A,C  4 1548.19A,C  4 1550.78A,N  2 6548.05A,N  2 6583.45A,S  2 6716.44A,S  2 6730.82A,S  3 9068.62A,S  3 9530.62A,U,rho,metal,ssp type,age
2.9199,1.0,0.47158,0.26122,4.5574e-06,3.0543e-07,0.0078294,0.002501,0.095384,0.0078713,0.023846,0.035524,5.7307e-10,1.6782e-09,4.726e-08,0.00018237,0.00054413,0.0066418,0.011981,3.1175e-05,9.4623e-06,1.0908,2.0656e-06,1.5887e-06,6.3799e-08,1.0052e-07,0.044582,0.13142,0.14737,0.10161,0.010631,0.026704,-4.0,1.0,0.02,single,3.0
2.9024,1.0,0.47345,0.26256,4.2491e-06,1.5147e-07,0.0081368,0.0025992,0.045825,0.0039232,0.070731,0.10521,5.5918e-08,1.6376e-07,2.1704e-06,0.0030259,0.0090281,0.047118,0.084275,0.00022636,6.8704e-05,0.8397,3.3156e-05,2.4399e-05,3.7991e-06,5.9649e-06,0.080152,0.23627,0.19668,0.13583,0.034391,0.086389,-3.5,1.0,0.02,single,3.0
2.8797,1.0,0.47555,0.26408,5.7908e-06,1.0061e-07,0.0067707,0.0021628,0.02221,0.0019651,0.20875,0.3103,4.7607e-06,1.3942e-05,9.2196e-05,0.045344,0.13529,0.25768,0.45794,0.0020575,0.0006245,0.64312,0.00064944,0.00046741,0.00012748,0.0002031,0.13393,0.39481,0.2336,0.16163,0.10359,0.26021,-3.0,1.0,0.02,single,3.0
2.8676,1.0,0.47644,0.26479,8.6603e-06,9.844e-08,0.0052539,0.0016783,0.012203,0.0011046,0.2957,0.4397,2.4203e-05,7.088e-05,0.00041301,0.16176,0.48263,0.7116,1.2621,0.0068305,0.0020732,0.46391,0.0020376,0.0014534,0.0012837,0.0023515,0.13576,0.4002,0.19937,0.13813,0.16925,0.42515,-2.5,1.0,0.02,single,3.0
2.8622,1.0,0.47731,0.2655,1.3162e-05,1.2084e-07,0.0044121,0.0014094,0.0080365,0.00073947,0.31235,0.46466,4.9361e-05,0.00014457,0.00077335,0.27798,0.82937,1.1636,2.0492,0.01324,0.0040187,0.33322,0.0035871,0.0025294,0.0033771,0.0086525,0.11754,0.3465,0.15503,0.10752,0.20482,0.51451,-2.0,1.0,0.02,single,3.0
2.8582,1.0,0.47867,0.2664,2.0208e-05,1.6475e-07,0.0041194,0.0013159,0.0061488,0.00057339,0.31577,0.46989,9.0812e-05,0.00026604,0.0012433,0.39089,1.1663,1.5168,2.6292,0.02164,0.0065682,0.2403,0.0058562,0.0040893,0.0054998,0.015748,0.10053,0.29633,0.12267,0.085145,0.22779,0.57221,-1.5,1.0,0.02,single,3.0
2.8546,1.0,0.48064,0.26764,3.1451e-05,2.3784e-07,0.0042882,0.0013698,0.0053787,0.00050659,0.3151,0.46889,0.00017446,0.00051131,0.0020308,0.53062,1.5831,1.8144,3.0794,0.033841,0.010272,0.17183,0.0096468,0.0066903,0.0085827,0.025513,0.085214,0.2512,0.10013,0.069535,0.24754,0.62182,-1.0,1.0,0.02,single,3.0
2.8497,1.0,0.48312,0.26915,4.9914e-05,3.5301e-07,0.0048446,0.0015476,0.0050108,0.00047548,0.30781,0.45796,0.0003426,0.0010048,0.0033945,0.71898,2.1451,2.0819,3.4526,0.052755,0.016012,0.12266,0.01584,0.010935,0.013793,0.041538,0.071573,0.21098,0.084805,0.05892,0.26701,0.67071,-0.5,1.0,0.02,single,3.0
2.9139,1.0,0.47213,0.26164,3.0229e-06,1.1562e-07,0.0099422,0.003176,0.096382,0.0080291,0.034448,0.049915,1.2821e-09,3.7548e-09,8.5179e-08,0.00024838,0.00074105,0.0070869,0.011322,4.5072e-05,1.368e-05,0.65415,3.801e-06,2.7425e-06,7.1231e-08,1.1216e-07,0.0549,0.16183,0.17605,0.12493,0.012795,0.03214,-4.0,1.5,0.02,single,3.0
2.8965,1.0,0.47401,0.26297,3.5996e-06,7.2026e-08,0.0096982,0.003098,0.044554,0.0038531,0.098515,0.14233,1.1116e-07,3.2553e-07,3.7e-06,0.0041041,0.012245,0.051821,0.081896,0.00032236,9.7843e-05,0.47502,5.9963e-05,4.211e-05,4.3955e-06,6.8958e-06,0.096519,0.28452,0.22738,0.16194,0.041349,0.10387,-3.5,1.5,0.02,single,3.0
2.8733,1.0,0.47606,0.26447,5.6292e-06,6.5247e-08,0.0075004,0.0023959,0.019469,0.0017449,0.28254,0.40803,7.7831e-06,2.2793e-05,0.00013933,0.059813,0.17846,0.29884,0.47062,0.0028442,0.00086326,0.3454,0.001059,0.00073365,0.00016077,0.00025638,0.15673,0.462,0.25745,0.18374,0.12381,0.311,-3.0,1.5,0.02,single,3.0
2.8619,1.0,0.47692,0.26519,9.1425e-06,7.9688e-08,0.0050851,0.0016244,0.0090778,0.00083426,0.3776,0.5458,4.2852e-05,0.00012551,0.00065205,0.22042,0.65764,0.87903,1.3672,0.0096621,0.0029326,0.22592,0.0034752,0.0024027,0.0016806,0.0032472,0.14429,0.42535,0.19368,0.13835,0.20052,0.5037,-2.5,1.5,0.02,single,3.0
2.8569,1.0,0.47803,0.26606,1.5247e-05,1.1439e-07,0.0037333,0.0011926,0.0052054,0.00048622,0.35142,0.50848,9.9328e-05,0.0002911,0.0013201,0.39573,1.1807,1.4973,2.2483,0.020081,0.0060948,0.13853,0.0063251,0.0043683,0.0040615,0.010925,0.10593,0.31227,0.12598,0.090013,0.23807,0.59803,-2.0,1.5,0.02,single,3.0
2.8525,1.0,0.48027,0.26754,2.6342e-05,1.8207e-07,0.0034641,0.0011066,0.0040004,0.00037636,0.31226,0.45217,0.00020947,0.00061483,0.002347,0.58482,1.7449,1.9714,2.8064,0.036459,0.011066,0.08431,0.01081,0.0074552,0.0069957,0.020415,0.07715,0.22742,0.087604,0.06259,0.26115,0.65598,-1.5,1.5,0.02,single,3.0
2.8471,1.0,0.48396,0.26994,4.6962e-05,3.0817e-07,0.0040302,0.0012874,0.003799,0.00035951,0.28201,0.40862,0.00045339,0.0013342,0.0042442,0.83285,2.4849,2.3269,3.1276,0.063071,0.019143,0.05425,0.018826,0.012959,0.012217,0.036794,0.058896,0.17362,0.069092,0.049332,0.2809,0.70561,-1.0,1.5,0.02,single,3.0
2.8401,1.0,0.48921,0.27309,8.5934e-05,5.4568e-07,0.0047604,0.0015207,0.003674,0.0003465,0.26071,0.37793,0.00098401,0.0029061,0.0077414,1.1722,3.4972,2.6082,3.3193,0.10493,0.031847,0.037945,0.033507,0.023007,0.022458,0.068461,0.047957,0.14137,0.060546,0.043201,0.29873,0.75038,-0.5,1.5,0.02,single,3.0
2.9057,1.0,0.47288,0.26221,2.5928e-06,5.7684e-08,0.013687,0.0043721,0.099495,0.0083361,0.056949,0.076313,3.7321e-09,1.093e-08,1.9002e-07,0.00037488,0.0011185,0.0076798,0.0091624,7.2959e-05,2.2144e-05,0.30952,8.9223e-06,6.1961e-06,8.1378e-08,1.2806e-07,0.073197,0.21577,0.21713,0.16695,0.01637,0.041119,-4.0,2.0,0.02,single,3.0
2.8885,1.0,0.47473,0.26353,3.4702e-06,4.972e-08,0.012444,0.0039751,0.045037,0.0039109,0.15359,0.20452,2.7985e-07,8.1956e-07,7.5171e-06,0.0060136,0.017942,0.05702,0.067086,0.00050238,0.00015248,0.21112,0.00013211,9.0546e-05,5.0149e-06,7.8672e-06,0.12437,0.36663,0.26829,0.20795,0.051944,0.13048,-3.5,2.0,0.02,single,3.0
2.867,1.0,0.47662,0.26489,5.6767e-06,5.686e-08,0.00893,0.0028526,0.018695,0.0016784,0.39285,0.52334,1.4063e-05,4.1185e-05,0.00022071,0.077742,0.23195,0.33285,0.39282,0.0038993,0.0011835,0.14616,0.0018308,0.0012458,0.0001849,0.00029518,0.18687,0.55086,0.28101,0.21814,0.14563,0.36582,-3.0,2.0,0.02,single,3.0
2.8567,1.0,0.47744,0.2656,9.5158e-06,7.66e-08,0.005405,0.0017266,0.0078801,0.00072432,0.4791,0.63988,7.6579e-05,0.00022437,0.0010168,0.28591,0.85303,1.0068,1.1591,0.012999,0.0039455,0.089685,0.0056494,0.0038438,0.0019304,0.0038597,0.15765,0.46473,0.19124,0.14831,0.23029,0.57848,-2.5,2.0,0.02,single,3.0
2.851,1.0,0.47881,0.26665,1.6813e-05,1.1895e-07,0.0034713,0.0011089,0.0039547,0.00036764,0.40126,0.53723,0.00019303,0.00056657,0.0022084,0.53972,1.6103,1.7697,1.8908,0.02915,0.0088476,0.048331,0.01046,0.0071309,0.0045723,0.012544,0.10125,0.29846,0.10829,0.083869,0.2732,0.68627,-2.0,2.0,0.02,single,3.0
2.8458,1.0,0.48193,0.26873,3.2015e-05,2.1054e-07,0.0031395,0.0010029,0.0029761,0.00027728,0.30803,0.41346,0.00044509,0.001312,0.0042244,0.83218,2.4829,2.3508,2.2662,0.057901,0.017574,0.024914,0.018472,0.012615,0.0083901,0.024715,0.061961,0.18265,0.066155,0.051109,0.29809,0.74877,-1.5,2.0,0.02,single,3.0
2.8388,1.0,0.48773,0.27254,6.4392e-05,4.0704e-07,0.0037215,0.0011888,0.0027653,0.00025742,0.24772,0.33352,0.0010498,0.0031139,0.0081693,1.2199,3.6396,2.7315,2.392,0.10646,0.032314,0.014507,0.034419,0.023501,0.016335,0.049606,0.042406,0.12501,0.049781,0.038281,0.31449,0.78998,-1.0,2.0,0.02,single,3.0
2.8329,1.0,0.4971,0.27814,0.00013361,8.3029e-07,0.0041274,0.0013185,0.0026186,0.00024072,0.21338,0.28801,0.0024197,0.007228,0.015576,1.7403,5.1922,2.9926,2.4153,0.17906,0.054349,0.0099927,0.065941,0.044939,0.03421,0.10464,0.033243,0.097995,0.043677,0.033466,0.31902,0.80135,-0.5,2.0,0.02,single,3.0
2.894,1.0,0.47397,0.26304,2.5291e-06,4.0649e-08,0.02124,0.0067849,0.10301,0.0085527,0.11516,0.128,1.5901e-08,4.6566e-08,5.7361e-07,0.00065706,0.0019604,0.0079347,0.0055485,0.00014116,4.2843e-05,0.1256,3.0291e-05,2.0725e-05,9.7991e-08,1.5413e-07,0.10872,0.32049,0.27096,0.25063,0.023055,0.057913,-4.0,2.5,0.02,single,3.0
2.8776,1.0,0.47581,0.2643,3.5154e-06,4.412e-08,0.017647,0.0056373,0.045717,0.0039117,0.28254,0.31033,9.3704e-07,2.7441e-06,1.9031e-05,0.0098352,0.029344,0.059254,0.040742,0.00090146,0.00027361,0.081373,0.00038122,0.00025949,5.8852e-06,9.2372e-06,0.17487,0.51549,0.31307,0.29386,0.070274,0.17652,-3.5,2.5,0.02,single,3.0
2.8594,1.0,0.47732,0.26543,5.7926e-06,5.5486e-08,0.011516,0.0036787,0.018387,0.0016122,0.59227,0.6513,2.9455e-05,8.6267e-05,0.00038694,0.10496,0.31315,0.3444,0.23855,0.0056143,0.001704,0.053647,0.0035501,0.0024078,0.00020823,0.00033306,0.23196,0.68377,0.29215,0.27457,0.17604,0.44219,-3.0,2.5,0.02,single,3.0
2.8503,1.0,0.47812,0.26613,9.8367e-06,7.743e-08,0.0063628,0.0020325,0.0073863,0.00065811,0.6533,0.72183,0.00015267,0.00044742,0.0017194,0.38062,1.1356,1.0465,0.70897,0.018086,0.0054894,0.031558,0.009897,0.0067109,0.0021235,0.0043471,0.18126,0.53431,0.184,0.17236,0.26999,0.67821,-2.5,2.5,0.02,single,3.0
2.8439,1.0,0.47974,0.26733,1.7931e-05,1.2472e-07,0.0037433,0.0011958,0.0034554,0.00030827,0.50467,0.56027,0.00039104,0.0011487,0.0038417,0.73801,2.2019,1.8319,1.154,0.04248,0.012893,0.015763,0.018098,0.012287,0.0049787,0.013775,0.10664,0.31435,0.09597,0.089605,0.32073,0.80566,-2.0,2.5,0.02,single,3.0
2.8382,1.0,0.48345,0.26983,3.6001e-05,2.3362e-07,0.0033044,0.0010556,0.0025333,0.00022622,0.34449,0.38491,0.00090349,0.0026671,0.0073803,1.1426,3.4091,2.3723,1.3543,0.086816,0.02635,0.0073639,0.031791,0.021611,0.009506,0.028097,0.057633,0.16989,0.05365,0.049693,0.3463,0.86988,-1.5,2.5,0.02,single,3.0
2.8314,1.0,0.49093,0.27471,7.754e-05,4.8681e-07,0.0035966,0.0011489,0.0021726,0.00019293,0.24582,0.27682,0.0021111,0.0062686,0.014057,1.6499,4.9227,2.6556,1.3913,0.15793,0.047936,0.0039684,0.0592,0.040234,0.01977,0.060109,0.03565,0.10509,0.037789,0.034581,0.35242,0.88526,-1.0,2.5,0.02,single,3.0
2.8289,1.0,0.50407,0.28256,0.00017455,1.0814e-06,0.0036065,0.0011521,0.0019295,0.0001688,0.19218,0.21789,0.0047667,0.014232,0.02613,2.3025,6.8697,2.8106,1.3746,0.2561,0.077731,0.0026281,0.11259,0.076454,0.045036,0.13737,0.026121,0.076999,0.031646,0.028708,0.33401,0.83902,-0.5,2.5,0.02,single,3.0
2.8808,1.0,0.47526,0.26401,2.5909e-06,3.653e-08,0.035209,0.011247,0.10229,0.0079878,0.24108,0.19413,7.4924e-08,2.1942e-07,1.8475e-06,0.0011883,0.0035454,0.0065451,0.0022982,0.00028934,8.7821e-05,0.046225,0.00011571,7.9864e-05,1.1544e-07,1.8189e-07,0.16463,0.48531,0.30116,0.37473,0.033687,0.08462,-4.0,3.0,0.02,single,3.0
2.8665,1.0,0.47698,0.26515,3.6209e-06,4.3713e-08,0.02604,0.0083184,0.044402,0.003521,0.51186,0.405,3.1122e-06,9.1142e-06,4.753e-05,0.015869,0.047346,0.048717,0.016792,0.0016183,0.0004912,0.029067,0.0011045,0.00076107,6.9206e-06,1.0875e-05,0.24368,0.71833,0.31544,0.40069,0.096037,0.24124,-3.5,3.0,0.02,single,3.0
2.8519,1.0,0.47811,0.26601,5.9504e-06,5.6313e-08,0.01533,0.0048971,0.017303,0.0013833,0.87416,0.69141,6.3176e-05,0.00018502,0.00068892,0.14215,0.42412,0.28152,0.097558,0.0080932,0.0024564,0.018388,0.0069085,0.00475,0.0002337,0.0003748,0.28482,0.83959,0.26039,0.33195,0.21531,0.54086,-3.0,3.0,0.02,single,3.0
2.8438,1.0,0.47891,0.26674,1.0151e-05,7.9595e-08,0.0079487,0.0025392,0.0067671,0.0005413,0.88908,0.70668,0.00031241,0.00091515,0.0029631,0.5082,1.5163,0.85204,0.29394,0.025342,0.0076918,0.010473,0.017675,0.012145,0.0023045,0.0048096,0.20941,0.61731,0.1544,0.19624,0.3212,0.80683,-2.5,3.0,0.02,single,3.0
2.8372,1.0,0.48078,0.26807,1.877e-05,1.3027e-07,0.0045449,0.0014519,0.0031688,0.00025203,0.65006,0.51989,0.0007924,0.0023229,0.0066478,0.99334,2.9637,1.463,0.49341,0.060824,0.018461,0.0050128,0.03177,0.021833,0.0053463,0.014878,0.11657,0.34362,0.076952,0.097416,0.38107,0.95722,-2.0,3.0,0.02,single,3.0
2.8312,1.0,0.48482,0.2708,3.8551e-05,2.4978e-07,0.00399,0.0012746,0.0023036,0.00018448,0.41215,0.33292,0.0017299,0.0050743,0.012254,1.505,4.4904,1.8252,0.59486,0.12241,0.037155,0.0022473,0.053499,0.036778,0.010382,0.030664,0.058983,0.17387,0.041321,0.051591,0.40523,1.0179,-1.5,3.0,0.02,single,3.0
2.8256,1.0,0.49323,0.2763,8.5392e-05,5.361e-07,0.0039065,0.0012479,0.0018354,0.00014605,0.27165,0.22203,0.003771,0.011058,0.021993,2.0963,6.2544,1.9669,0.62196,0.2129,0.064621,0.0011731,0.094363,0.064869,0.022196,0.067271,0.034401,0.10141,0.027816,0.034144,0.39829,1.0005,-1.0,3.0,0.02,single,3.0
2.826,1.0,0.50861,0.28541,0.00019892,1.234e-06,0.0035664,0.0011393,0.001523,0.00011982,0.19616,0.16188,0.0079405,0.023248,0.038482,2.8185,8.4092,2.0176,0.62305,0.32763,0.099443,0.00075431,0.16847,0.11603,0.052359,0.15888,0.023834,0.070259,0.022211,0.02696,0.35745,0.89789,-0.5,3.0,0.02,single,3.0
2.9894,1.0,0.46888,0.25885,1.7397e-06,1.821e-07,0.00033062,0.00010561,0.094771,0.006937,0.00035445,0.00052841,2.6422e-11,7.7376e-11,2.9892e-10,4.1394e-06,1.235e-05,0.0040948,0.0075208,1.6101e-07,4.8871e-08,1.3981,9.3038e-08,1.5734e-07,0.0,0.0,0.0043626,0.01286,0.016488,0.011426,0.0014281,0.0035874,-4.0,1.0,0.03,single,3.0
2.969,1.0,0.47076,0.26028,9.9809e-07,6.8613e-08,0.00069866,0.00022318,0.04623,0.0035233,0.002143,0.00319,5.404e-10,1.5826e-09,5.5519e-09,9.1375e-05,0.00027262,0.027031,0.049066,2.1354e-06,6.4813e-07,1.0989,5.7151e-07,9.4645e-07,9.8449e-07,1.4496e-06,0.01169,0.03446,0.034932,0.024188,0.0059921,0.015052,-3.5,1.0,0.03,single,3.0
2.9422,1.0,0.47361,0.26231,1.0496e-06,3.9167e-08,0.00086329,0.00027577,0.022699,0.0017948,0.015856,0.023562,2.7489e-08,8.0501e-08,1.2634e-06,0.0038303,0.011428,0.1506,0.2705,6.6137e-05,2.0074e-05,0.91742,7.9342e-06,9.5838e-06,4.1048e-05,6.0779e-05,0.033065,0.097469,0.067209,0.04651,0.030953,0.077752,-3.0,1.0,0.03,single,3.0
2.9176,1.0,0.47606,0.2641,1.5119e-06,4.3282e-08,0.0009521,0.00030414,0.01318,0.0010735,0.053756,0.079877,6.2249e-07,1.823e-06,2.3102e-05,0.0335,0.099949,0.50935,0.90974,0.00061715,0.00018731,0.74226,7.9534e-05,7.6395e-05,0.00065341,0.0010249,0.059286,0.17477,0.092471,0.063952,0.08729,0.21927,-2.5,1.0,0.03,single,3.0
2.9044,1.0,0.47777,0.2655,2.2439e-06,5.4745e-08,0.0010188,0.00032543,0.0089657,0.00074557,0.086762,0.12898,1.6075e-06,4.7082e-06,5.2153e-05,0.071964,0.21471,0.97302,1.7246,0.0015259,0.00046314,0.57707,0.00017047,0.00018124,0.0029418,0.0060484,0.070099,0.20664,0.093662,0.064759,0.13114,0.32941,-2.0,1.0,0.03,single,3.0
2.8974,1.0,0.47999,0.26701,3.4817e-06,7.5072e-08,0.001124,0.00035906,0.0067441,0.00057,0.12418,0.1847,4.1166e-06,1.2061e-05,9.4809e-05,0.10944,0.32653,1.4082,2.4482,0.0028107,0.00085311,0.43186,0.00039535,0.00042046,0.0059193,0.015061,0.074415,0.21936,0.086929,0.060132,0.16204,0.40704,-1.5,1.0,0.03,single,3.0
2.8939,1.0,0.48335,0.26913,5.6743e-06,1.1146e-07,0.0013169,0.00042066,0.0053927,0.00046252,0.16149,0.24026,1.1725e-05,3.4379e-05,0.0001973,0.16619,0.49585,1.852,3.1306,0.00529,0.0016056,0.30274,0.00096387,0.00096869,0.010597,0.028744,0.072455,0.21358,0.076819,0.053186,0.18834,0.4731,-1.0,1.0,0.03,single,3.0
2.8921,1.0,0.48795,0.2718,9.6047e-06,1.7849e-07,0.0017379,0.00055516,0.004822,0.00042051,0.18749,0.27899,3.2801e-05,9.6299e-05,0.00043956,0.26435,0.78872,2.3343,3.8236,0.010302,0.0031268,0.20324,0.0021401,0.0020651,0.019019,0.052959,0.065873,0.19418,0.06711,0.046509,0.21366,0.53671,-0.5,1.0,0.03,single,3.0
2.9786,1.0,0.46979,0.25955,7.8223e-07,6.3284e-08,0.00061913,0.00019778,0.097746,0.0072925,0.00086224,0.0012447,7.7457e-11,2.2683e-10,4.2258e-10,8.3897e-06,2.5031e-05,0.0044823,0.0071634,3.8721e-07,1.1753e-07,0.82388,1.0276e-07,1.6847e-07,0.0,0.0,0.0073586,0.021692,0.026562,0.019009,0.0021807,0.0054777,-4.0,1.5,0.03,single,3.0
2.9592,1.0,0.47163,0.26095,6.3959e-07,2.9741e-08,0.0010924,0.00034895,0.046286,0.0035881,0.0042958,0.0061859,1.6327e-09,4.7813e-09,1.238e-08,0.00016694,0.00049808,0.030015,0.047218,4.3554e-06,1.3219e-06,0.61204,6.7477e-07,1.0644e-06,1.1531e-06,1.697e-06,0.017701,0.052178,0.050196,0.035967,0.0086106,0.021629,-3.5,1.5,0.03,single,3.0
2.9313,1.0,0.47458,0.26305,8.9357e-07,2.5237e-08,0.0012535,0.00040041,0.021206,0.0017075,0.029337,0.04217,7.8115e-08,2.2876e-07,2.7684e-06,0.0062921,0.018773,0.17501,0.2745,0.00011887,3.608e-05,0.495,1.6769e-05,1.6223e-05,5.1728e-05,7.6588e-05,0.048499,0.14296,0.092653,0.066374,0.043555,0.10941,-3.0,1.5,0.03,single,3.0
2.9059,1.0,0.47719,0.26497,1.4378e-06,3.2998e-08,0.0013124,0.00041923,0.010788,0.00089896,0.098046,0.14111,1.5013e-06,4.3972e-06,4.5066e-05,0.052629,0.15702,0.64016,0.99515,0.0010165,0.00030852,0.38092,0.00017237,0.0001449,0.00088353,0.0014113,0.084494,0.24907,0.12014,0.085915,0.12073,0.30327,-2.5,1.5,0.03,single,3.0
2.8946,1.0,0.47914,0.26652,2.3788e-06,4.7737e-08,0.0012696,0.00040556,0.0063732,0.00054378,0.14795,0.2133,5.2568e-06,1.5407e-05,0.00011445,0.11763,0.35097,1.3295,1.9906,0.0025507,0.00077419,0.26177,0.00044597,0.00039827,0.0037385,0.0082835,0.087809,0.25884,0.1017,0.072664,0.17343,0.43566,-2.0,1.5,0.03,single,3.0
2.8896,1.0,0.48249,0.26879,4.2606e-06,7.794e-08,0.0012675,0.0004049,0.0044201,0.00038255,0.18299,0.2642,1.7389e-05,5.1062e-05,0.00024595,0.19354,0.57745,2.0009,2.8047,0.0054215,0.0016455,0.16099,0.0011685,0.001045,0.0078094,0.020404,0.075702,0.22315,0.076433,0.054622,0.20588,0.51717,-1.5,1.5,0.03,single,3.0
2.8875,1.0,0.48881,0.27278,8.201e-06,1.4189e-07,0.001552,0.00049579,0.0036495,0.00032047,0.19609,0.28344,5.6453e-05,0.00016642,0.00060684,0.33275,0.99277,2.6723,3.472,0.012738,0.0038662,0.0926,0.0027601,0.0024496,0.015724,0.043309,0.060217,0.17751,0.059074,0.042232,0.23585,0.59243,-1.0,1.5,0.03,single,3.0
2.8866,1.0,0.49874,0.27855,1.6387e-05,2.7482e-07,0.0022189,0.0007088,0.0039339,0.00034829,0.20584,0.29788,0.00016753,0.00049645,0.0015419,0.57906,1.7277,3.2178,3.9085,0.030462,0.0092458,0.05962,0.006165,0.005425,0.032608,0.09195,0.050554,0.14902,0.051699,0.036938,0.27361,0.68729,-0.5,1.5,0.03,single,3.0
2.9649,1.0,0.47099,0.26047,4.9856e-07,2.7471e-08,0.0013147,0.00041996,0.10356,0.0078598,0.0025516,0.0033706,2.0644e-10,6.0455e-10,1.0045e-09,1.9975e-05,5.9597e-05,0.0049724,0.005774,1.1138e-06,3.3805e-07,0.38707,1.2267e-07,1.8968e-07,0.0,0.0,0.01388,0.040915,0.045361,0.035486,0.0036436,0.0091524,-4.0,2.0,0.03,single,3.0
2.9466,1.0,0.47279,0.26183,5.4591e-07,1.8843e-08,0.001882,0.00060118,0.047989,0.0037719,0.010322,0.013565,4.5069e-09,1.3198e-08,4.3019e-08,0.0003565,0.0010637,0.033599,0.03815,1.0615e-05,3.2217e-06,0.2703,1.0147e-06,1.3614e-06,1.369e-06,2.0148e-06,0.029784,0.087798,0.075836,0.059669,0.013456,0.033802,-3.5,2.0,0.03,single,3.0
2.9191,1.0,0.47572,0.26394,8.6567e-07,2.1706e-08,0.0019721,0.00062997,0.021289,0.0017341,0.061139,0.080293,2.5647e-07,7.5111e-07,7.4988e-06,0.011151,0.033269,0.20047,0.23036,0.00023778,7.2172e-05,0.21137,4.8755e-05,3.8477e-05,6.2228e-05,9.2182e-05,0.075255,0.22184,0.1291,0.10155,0.062883,0.15796,-3.0,2.0,0.03,single,3.0
2.8954,1.0,0.47826,0.26579,1.449e-06,3.0486e-08,0.0018813,0.00060098,0.0099856,0.00084174,0.17753,0.23433,4.3065e-06,1.2616e-05,0.00010123,0.0826,0.24644,0.74559,0.84806,0.001725,0.00052356,0.15702,0.0004463,0.0003338,0.0010613,0.0017177,0.11783,0.34733,0.1487,0.11636,0.16011,0.40219,-2.5,2.0,0.03,single,3.0
2.8849,1.0,0.48056,0.26758,2.5501e-06,4.7781e-08,0.0015896,0.00050779,0.0052525,0.00045322,0.23996,0.31821,1.6455e-05,4.8288e-05,0.00027755,0.19312,0.57619,1.6003,1.6902,0.0046117,0.0013997,0.098267,0.0011813,0.00091804,0.0043625,0.010019,0.10783,0.31786,0.10719,0.083576,0.22476,0.56457,-2.0,2.0,0.03,single,3.0
2.8805,1.0,0.48521,0.2707,5.0446e-06,8.7778e-08,0.001397,0.00044626,0.0032929,0.00028705,0.24517,0.32614,5.7213e-05,0.00016873,0.00064929,0.34703,1.0354,2.5191,2.3611,0.011291,0.0034269,0.04952,0.002903,0.002307,0.0096236,0.02549,0.074821,0.22056,0.066823,0.05205,0.26188,0.65783,-1.5,2.0,0.03,single,3.0
2.8798,1.0,0.49507,0.27695,1.0994e-05,1.8384e-07,0.0017845,0.00057003,0.0029347,0.00025904,0.23009,0.30724,0.00019395,0.00057653,0.0017222,0.62588,1.8673,3.2857,2.7451,0.030416,0.0092319,0.02481,0.0068528,0.0054881,0.021431,0.059511,0.051198,0.15092,0.047384,0.036807,0.3012,0.75661,-1.0,2.0,0.03,single,3.0
2.8833,1.0,0.51165,0.28655,2.498e-05,4.0735e-07,0.0024083,0.00076932,0.0030811,0.00027144,0.2102,0.28166,0.00059458,0.0017829,0.004457,1.0803,3.2232,3.8219,2.9127,0.073852,0.022416,0.015637,0.015887,0.012732,0.049812,0.1415,0.039673,0.11695,0.040661,0.031441,0.33747,0.84771,-0.5,2.0,0.03,single,3.0
2.9465,1.0,0.47266,0.26176,4.2552e-07,1.6876e-08,0.0033581,0.0010727,0.11059,0.0084509,0.010143,0.010938,4.7215e-10,1.3827e-09,5.9532e-09,5.8989e-05,0.000176,0.0052019,0.0034659,4.2281e-06,1.2833e-06,0.15723,2.673e-07,3.0259e-07,2.8216e-10,4.22e-10,0.03055,0.090055,0.082068,0.078236,0.0069888,0.017555,-4.0,2.5,0.03,single,3.0
2.9294,1.0,0.47445,0.26309,5.4028e-07,1.6306e-08,0.0038244,0.0012217,0.05019,0.0039471,0.033104,0.035328,1.2268e-08,3.5927e-08,2.587e-07,0.00094658,0.0028242,0.035404,0.022962,3.422e-05,1.0386e-05,0.10482,3.8112e-06,3.3811e-06,1.7125e-06,2.522e-06,0.058337,0.17197,0.1204,0.11628,0.02413,0.060612,-3.5,2.5,0.03,single,3.0
2.9037,1.0,0.47718,0.26506,8.8421e-07,2.1323e-08,0.0035549,0.0011356,0.021813,0.0017655,0.15156,0.1622,1.0443e-06,3.0584e-06,2.5614e-05,0.022,0.065638,0.21575,0.14339,0.00054615,0.00016577,0.079336,0.00019848,0.00014103,7.5961e-05,0.00011265,0.12735,0.37541,0.17872,0.17238,0.097085,0.24387,-3.0,2.5,0.03,single,3.0
2.8842,1.0,0.47951,0.26675,1.4924e-06,3.0607e-08,0.002947,0.00094138,0.0097777,0.00081443,0.33833,0.3658,1.4027e-05,4.1101e-05,0.0002607,0.13574,0.40499,0.78754,0.52143,0.0031445,0.0009544,0.056929,0.0013359,0.00094064,0.0012333,0.0020188,0.16705,0.49245,0.17302,0.16519,0.21487,0.53974,-2.5,2.5,0.03,single,3.0
